case_id,video,query_id,template,query,method,true_concept1,true_concept2,parsed_concepts,routeable,parser_success,route,selected_indices,fscore,exact_fscore,query_relevance_or,query_relevance_and
P01:Book_Street:focus_unseen,P01,Book_Street,focus_unseen,请围绕书与街道整理视频中的精华内容。,Oracle-Intent,Book,Street,"[""Book"", ""Street""]",True,True,intent_selector,"[471, 475, 481, 552, 556, 557, 558, 559, 563, 564, 571, 573, 575, 879, 1059, 1061, 1062, 1066, 1371, 1376, 1377, 1378, 1383, 1385, 1387, 1388, 1389, 1390, 1391, 1392, 1396, 1399, 1402, 1404, 1405, 1406, 1407, 1409, 1410, 1411, 1413, 1417, 1421, 1424, 1437, 1459, 1462, 1463, 1464, 1467, 1468, 1469, 1470, 1479, 1488]",0.39331243208794225,0.04081632653061224,0.8545454545454545,0.0
P01:Book_Street:focus_unseen,P01,Book_Street,focus_unseen,请围绕书与街道整理视频中的精华内容。,LLM-Parsed,Book,Street,"[""Book"", ""Street""]",True,True,intent_selector,"[471, 475, 481, 552, 556, 557, 558, 559, 563, 564, 571, 573, 575, 879, 1059, 1061, 1062, 1066, 1371, 1376, 1377, 1378, 1383, 1385, 1387, 1388, 1389, 1390, 1391, 1392, 1396, 1399, 1402, 1404, 1405, 1406, 1407, 1409, 1410, 1411, 1413, 1417, 1421, 1424, 1437, 1459, 1462, 1463, 1464, 1467, 1468, 1469, 1470, 1479, 1488]",0.39331243208794225,0.04081632653061224,0.8545454545454545,0.0
P01:Book_Street:focus_unseen,P01,Book_Street,focus_unseen,请围绕书与街道整理视频中的精华内容。,Rule-Parsed,Book,Street,"[""Book"", ""Street""]",True,True,intent_selector,"[471, 475, 481, 552, 556, 557, 558, 559, 563, 564, 571, 573, 575, 879, 1059, 1061, 1062, 1066, 1371, 1376, 1377, 1378, 1383, 1385, 1387, 1388, 1389, 1390, 1391, 1392, 1396, 1399, 1402, 1404, 1405, 1406, 1407, 1409, 1410, 1411, 1413, 1417, 1421, 1424, 1437, 1459, 1462, 1463, 1464, 1467, 1468, 1469, 1470, 1479, 1488]",0.39331243208794225,0.04081632653061224,0.8545454545454545,0.0
P01:Book_Street:focus_unseen,P01,Book_Street,focus_unseen,请围绕书与街道整理视频中的精华内容。,No-Intent-Visual,Book,Street,[],False,False,visual_fallback,"[2782, 2781, 2780, 2779, 2778, 915, 917, 914, 918, 916, 2777, 919, 1962, 1391, 1963, 1801, 1390, 979, 920, 923, 828, 1466, 977, 1699, 1607, 827, 1647, 978, 1389, 1802, 1551, 1606, 2529, 1536, 1058, 1345, 1795, 1964, 1337, 2775, 1336, 1349, 1544, 1700, 924, 1346, 2499, 775, 569, 882, 1392, 1550, 1597, 1347, 714]",0.4200734261958752,0.0272108843537415,0.34545454545454546,0.0
P01:Book_Street:question_unseen,P01,Book_Street,question_unseen,在整段视频里，哪些画面和书以及街道最相关？请给出关键帧。,Oracle-Intent,Book,Street,"[""Book"", ""Street""]",True,True,intent_selector,"[471, 475, 481, 552, 556, 557, 558, 559, 563, 564, 571, 573, 575, 879, 1059, 1061, 1062, 1066, 1371, 1376, 1377, 1378, 1383, 1385, 1387, 1388, 1389, 1390, 1391, 1392, 1396, 1399, 1402, 1404, 1405, 1406, 1407, 1409, 1410, 1411, 1413, 1417, 1421, 1424, 1437, 1459, 1462, 1463, 1464, 1467, 1468, 1469, 1470, 1479, 1488]",0.39331243208794225,0.04081632653061224,0.8545454545454545,0.0
P01:Book_Street:question_unseen,P01,Book_Street,question_unseen,在整段视频里，哪些画面和书以及街道最相关？请给出关键帧。,LLM-Parsed,Book,Street,"[""Book"", ""Street""]",True,True,intent_selector,"[471, 475, 481, 552, 556, 557, 558, 559, 563, 564, 571, 573, 575, 879, 1059, 1061, 1062, 1066, 1371, 1376, 1377, 1378, 1383, 1385, 1387, 1388, 1389, 1390, 1391, 1392, 1396, 1399, 1402, 1404, 1405, 1406, 1407, 1409, 1410, 1411, 1413, 1417, 1421, 1424, 1437, 1459, 1462, 1463, 1464, 1467, 1468, 1469, 1470, 1479, 1488]",0.39331243208794225,0.04081632653061224,0.8545454545454545,0.0
P01:Book_Street:question_unseen,P01,Book_Street,question_unseen,在整段视频里，哪些画面和书以及街道最相关？请给出关键帧。,Rule-Parsed,Book,Street,"[""Book"", ""Street""]",True,True,intent_selector,"[471, 475, 481, 552, 556, 557, 558, 559, 563, 564, 571, 573, 575, 879, 1059, 1061, 1062, 1066, 1371, 1376, 1377, 1378, 1383, 1385, 1387, 1388, 1389, 1390, 1391, 1392, 1396, 1399, 1402, 1404, 1405, 1406, 1407, 1409, 1410, 1411, 1413, 1417, 1421, 1424, 1437, 1459, 1462, 1463, 1464, 1467, 1468, 1469, 1470, 1479, 1488]",0.39331243208794225,0.04081632653061224,0.8545454545454545,0.0
P01:Book_Street:question_unseen,P01,Book_Street,question_unseen,在整段视频里，哪些画面和书以及街道最相关？请给出关键帧。,No-Intent-Visual,Book,Street,[],False,False,visual_fallback,"[2782, 2781, 2780, 2779, 2778, 915, 917, 914, 918, 916, 2777, 919, 1962, 1391, 1963, 1801, 1390, 979, 920, 923, 828, 1466, 977, 1699, 1607, 827, 1647, 978, 1389, 1802, 1551, 1606, 2529, 1536, 1058, 1345, 1795, 1964, 1337, 2775, 1336, 1349, 1544, 1700, 924, 1346, 2499, 775, 569, 882, 1392, 1550, 1597, 1347, 714]",0.4200734261958752,0.0272108843537415,0.34545454545454546,0.0
P01:Book_Street:implicit_unseen,P01,Book_Street,implicit_unseen,别的内容可以省略，只保留涉及书、街道的部分。,Oracle-Intent,Book,Street,"[""Book"", ""Street""]",True,True,intent_selector,"[471, 475, 481, 552, 556, 557, 558, 559, 563, 564, 571, 573, 575, 879, 1059, 1061, 1062, 1066, 1371, 1376, 1377, 1378, 1383, 1385, 1387, 1388, 1389, 1390, 1391, 1392, 1396, 1399, 1402, 1404, 1405, 1406, 1407, 1409, 1410, 1411, 1413, 1417, 1421, 1424, 1437, 1459, 1462, 1463, 1464, 1467, 1468, 1469, 1470, 1479, 1488]",0.39331243208794225,0.04081632653061224,0.8545454545454545,0.0
P01:Book_Street:implicit_unseen,P01,Book_Street,implicit_unseen,别的内容可以省略，只保留涉及书、街道的部分。,LLM-Parsed,Book,Street,"[""Book"", ""Street""]",True,True,intent_selector,"[471, 475, 481, 552, 556, 557, 558, 559, 563, 564, 571, 573, 575, 879, 1059, 1061, 1062, 1066, 1371, 1376, 1377, 1378, 1383, 1385, 1387, 1388, 1389, 1390, 1391, 1392, 1396, 1399, 1402, 1404, 1405, 1406, 1407, 1409, 1410, 1411, 1413, 1417, 1421, 1424, 1437, 1459, 1462, 1463, 1464, 1467, 1468, 1469, 1470, 1479, 1488]",0.39331243208794225,0.04081632653061224,0.8545454545454545,0.0
P01:Book_Street:implicit_unseen,P01,Book_Street,implicit_unseen,别的内容可以省略，只保留涉及书、街道的部分。,Rule-Parsed,Book,Street,"[""Book"", ""Street""]",True,True,intent_selector,"[471, 475, 481, 552, 556, 557, 558, 559, 563, 564, 571, 573, 575, 879, 1059, 1061, 1062, 1066, 1371, 1376, 1377, 1378, 1383, 1385, 1387, 1388, 1389, 1390, 1391, 1392, 1396, 1399, 1402, 1404, 1405, 1406, 1407, 1409, 1410, 1411, 1413, 1417, 1421, 1424, 1437, 1459, 1462, 1463, 1464, 1467, 1468, 1469, 1470, 1479, 1488]",0.39331243208794225,0.04081632653061224,0.8545454545454545,0.0
P01:Book_Street:implicit_unseen,P01,Book_Street,implicit_unseen,别的内容可以省略，只保留涉及书、街道的部分。,No-Intent-Visual,Book,Street,[],False,False,visual_fallback,"[2782, 2781, 2780, 2779, 2778, 915, 917, 914, 918, 916, 2777, 919, 1962, 1391, 1963, 1801, 1390, 979, 920, 923, 828, 1466, 977, 1699, 1607, 827, 1647, 978, 1389, 1802, 1551, 1606, 2529, 1536, 1058, 1345, 1795, 1964, 1337, 2775, 1336, 1349, 1544, 1700, 924, 1346, 2499, 775, 569, 882, 1392, 1550, 1597, 1347, 714]",0.4200734261958752,0.0272108843537415,0.34545454545454546,0.0
P01:Book_Sun:focus_unseen,P01,Book_Sun,focus_unseen,请围绕书与太阳整理视频中的精华内容。,Oracle-Intent,Book,Sun,"[""Book"", ""Sun""]",True,True,intent_selector,"[474, 480, 550, 552, 568, 577, 631, 632, 633, 825, 826, 828, 830, 864, 879, 882, 884, 885, 915, 916, 917, 919, 920, 924, 1058, 1059, 1060, 1061, 1062, 1063, 1064, 1065, 1066, 1067, 1146, 1261, 1383, 1384, 1391, 1392, 1396, 1399, 1411, 1413, 1467, 1479, 1519, 1524, 1713, 1900, 1922, 1961, 1972, 2499, 2612]",0.4395032291258707,0.050314465408805034,0.45454545454545453,0.0
